,Year,Month,encode_state,forecast,Precipitation,Total_Suntime
0,2023.0,1.0,0.0,24.536609649658203,0.935691680242285,1092018.0
1,2023.0,2.0,0.0,26.84425163269043,1.1649329449534798,1121529.0
2,2023.0,3.0,0.0,29.31435775756836,1.3512248360633716,1336531.0
3,2023.0,4.0,0.0,46.08519744873047,2.229711901586205,1429874.0
4,2023.0,5.0,0.0,53.06039047241211,2.484879206991838,1596277.0
5,2023.0,6.0,0.0,62.876991271972656,1.6262795522105629,1602410.0
6,2023.0,7.0,0.0,65.76799011230469,2.180056319086037,1625343.0
7,2023.0,8.0,0.0,66.5395278930664,2.260685333504867,1520925.0
8,2023.0,9.0,0.0,57.24825668334961,2.429511791339764,1341215.0
9,2023.0,10.0,0.0,47.50811767578125,1.4520806138601845,1244644.0
10,2023.0,11.0,0.0,36.91969680786133,1.0510163840151654,1083937.0
11,2023.0,12.0,0.0,28.10243034362793,1.1887039631249336,1058346.0
12,2023.0,1.0,1.0,34.6700553894043,0.6764710781849438,1096149.0
13,2023.0,2.0,1.0,37.58697509765625,0.8390375920496749,1123393.0
14,2023.0,3.0,1.0,46.276859283447266,1.5034293795531395,1336657.0
15,2023.0,4.0,1.0,55.618160247802734,2.3044953109252377,1428156.0
16,2023.0,5.0,1.0,64.7366714477539,3.754507306692283,1592840.0
17,2023.0,6.0,1.0,69.04509735107422,4.0953434336183525,1598247.0
18,2023.0,7.0,1.0,79.8284912109375,2.638163161380027,1621521.0
19,2023.0,8.0,1.0,76.85894012451172,2.618847956019076,1518616.0
20,2023.0,9.0,1.0,68.44190979003906,2.9722734523072387,1340766.0
21,2023.0,10.0,1.0,60.72063064575195,2.0271380416149207,1245447.0
22,2023.0,11.0,1.0,45.32244873046875,1.1083365658453095,1086997.0
23,2023.0,12.0,1.0,39.08146667480469,0.7910167429680413,1062395.0
24,2023.0,1.0,2.0,6.597945213317871,0.9115667507211559,1017221.0
25,2023.0,2.0,2.0,1.6268693208694458,0.7176199978837805,1083524.0
26,2023.0,3.0,2.0,32.80679702758789,1.2186703502860141,1333103.0
27,2023.0,4.0,2.0,40.805633544921875,1.829203254830297,1465584.0
28,2023.0,5.0,2.0,54.91577911376953,3.294987211858325,1669458.0
29,2023.0,6.0,2.0,65.0491714477539,4.086216356322905,1692396.0
30,2023.0,7.0,2.0,73.16537475585938,3.4807932299286595,1708150.0
31,2023.0,8.0,2.0,65.99913787841797,3.6457355163084553,1570943.0
32,2023.0,9.0,2.0,59.61936950683594,2.13976459698442,1351683.0
33,2023.0,10.0,2.0,50.03076934814453,1.9327047790190335,1212599.0
34,2023.0,11.0,2.0,25.65814781188965,1.209155860654714,1019383.0
35,2023.0,12.0,2.0,23.10991859436035,0.8376920348493511,971543.0
36,2023.0,1.0,3.0,19.624452590942383,1.3838606904606925,1003055.0
37,2023.0,2.0,3.0,25.82326889038086,1.2037792797042945,1074479.0
38,2023.0,3.0,3.0,27.728866577148438,1.2581747079574797,1332763.0
39,2023.0,4.0,3.0,38.8294563293457,1.2506925797065633,1472150.0
40,2023.0,5.0,3.0,55.875701904296875,2.101002734923817,1682791.0
41,2023.0,6.0,3.0,62.10833740234375,2.8726164526545,1708788.0
42,2023.0,7.0,3.0,66.38899993896484,2.080105592634846,1722992.0
43,2023.0,8.0,3.0,66.33108520507812,2.0658809201969426,1579646.0
44,2023.0,9.0,3.0,55.30438232421875,1.3306566711663306,1353322.0
45,2023.0,10.0,3.0,47.95056915283203,1.043155651641774,1210196.0
46,2023.0,11.0,3.0,32.32169723510742,1.2217056266635888,1007701.0
47,2023.0,12.0,3.0,24.637977600097656,1.226610122793968,955875.0
48,2023.0,1.0,4.0,22.398038864135742,0.5858563663721347,1066815.0
49,2023.0,2.0,4.0,28.929927825927734,0.5344357500976877,1108617.0
50,2023.0,3.0,4.0,40.09991455078125,1.1238186596985082,1335274.0
51,2023.0,4.0,4.0,51.63032150268555,1.9537128001756563,1442148.0
52,2023.0,5.0,4.0,61.2199821472168,3.5622367247100852,1621326.0
53,2023.0,6.0,4.0,68.34557342529297,3.113598231684475,1633075.0
54,2023.0,7.0,4.0,74.51052856445312,2.8833334500789984,1653670.0
55,2023.0,8.0,4.0,72.85620880126953,2.500207320202851,1538179.0
56,2023.0,9.0,4.0,63.153770446777344,2.4514236557295117,1344852.0
57,2023.0,10.0,4.0,55.17828369140625,1.5969430497605208,1232754.0
58,2023.0,11.0,4.0,35.05514144897461,0.7084727630094878,1061737.0
59,2023.0,12.0,4.0,29.443161010742188,0.5126111838358187,1028618.0
60,2023.0,1.0,5.0,11.218509674072266,0.5532524707282779,997989.0
61,2023.0,2.0,5.0,12.795564651489258,0.5174364710491591,1072630.0
62,2023.0,3.0,5.0,23.59955406188965,0.6531248642104568,1332390.0
63,2023.0,4.0,5.0,39.73239517211914,0.9887066262305737,1474724.0
64,2023.0,5.0,5.0,56.28630447387695,2.5814926637217734,1688304.0
65,2023.0,6.0,5.0,63.664798736572266,3.4654821780046614,1715757.0
66,2023.0,7.0,5.0,70.85277557373047,2.5510363741136257,1729440.0
67,2023.0,8.0,5.0,70.44435119628906,2.115973229177415,1583547.0
68,2023.0,9.0,5.0,58.691627502441406,1.3458950976774529,1354238.0
69,2023.0,10.0,5.0,47.618431091308594,1.1504394201039332,1206084.0
70,2023.0,11.0,5.0,26.946086883544922,0.8432763366592089,1002900.0
71,2023.0,12.0,5.0,11.20407485961914,0.4868656277722681,949225.0
72,2023.0,1.0,6.0,38.406883239746094,1.5167504791070983,1122667.0
73,2023.0,2.0,6.0,43.52121353149414,1.5835892570604486,1137595.0
74,2023.0,3.0,6.0,55.19104766845703,2.1618561025137866,1337870.0
75,2023.0,4.0,6.0,64.17786407470703,3.2723438411217405,1415555.0
76,2023.0,5.0,6.0,71.42571258544922,4.590742684886822,1567407.0
77,2023.0,6.0,6.0,78.58694458007812,4.47105998218274,1567356.0
78,2023.0,7.0,6.0,83.58441925048828,2.8672540010716694,1592973.0
79,2023.0,8.0,6.0,83.90116882324219,2.6589126432420933,1501171.0
80,2023.0,9.0,6.0,78.45667266845703,3.0364452107049793,1337190.0
81,2023.0,10.0,6.0,68.82684326171875,2.0514600178991493,1255642.0
82,2023.0,11.0,6.0,55.14209747314453,1.667181326464116,1109682.0
83,2023.0,12.0,6.0,43.05595397949219,1.4076306942139618,1092517.0
84,2023.0,1.0,7.0,16.93805503845215,0.5277314718906183,1034835.0
85,2023.0,2.0,7.0,20.698102951049805,0.49769451673339254,1091472.0
86,2023.0,3.0,7.0,24.94516372680664,0.9533611311486131,1333922.0
87,2023.0,4.0,7.0,46.92490768432617,2.0502488247233575,1457361.0
88,2023.0,5.0,7.0,58.36653137207031,3.1665185764096093,1652418.0
89,2023.0,6.0,7.0,68.35063171386719,3.3762358345575576,1671267.0
90,2023.0,7.0,7.0,72.3573989868164,2.428098996363791,1688745.0
91,2023.0,8.0,7.0,73.78855895996094,2.4557740320244985,1559294.0
92,2023.0,9.0,7.0,63.120880126953125,1.6812879718245757,1349204.0
93,2023.0,10.0,7.0,54.34584045410156,1.0910035703581245,1220611.0
94,2023.0,11.0,7.0,35.610137939453125,0.5758689744962369,1034325.0
95,2023.0,12.0,7.0,27.095901489257812,0.6491886554779547,991806.0
96,2023.0,1.0,8.0,49.70167922973633,1.6018510425596975,1148008.0
97,2023.0,2.0,8.0,54.24008560180664,1.7572948049093977,1151809.0
98,2023.0,3.0,8.0,60.140872955322266,2.0143966541939533,1339183.0
99,2023.0,4.0,8.0,65.4359359741211,2.889534296653813,1403053.0
100,2023.0,5.0,8.0,71.42947387695312,2.28323867326615,1542219.0
101,2023.0,6.0,8.0,80.72897338867188,3.495090098485875,1536842.0
102,2023.0,7.0,8.0,83.65330505371094,1.775392941160803,1564679.0
103,2023.0,8.0,8.0,82.54505920410156,2.4450774446111927,1483761.0
104,2023.0,9.0,8.0,77.6303939819336,2.3673527555104856,1333596.0
105,2023.0,10.0,8.0,70.17528533935547,2.0636151316160207,1266998.0
106,2023.0,11.0,8.0,59.46231460571289,1.8503442837922097,1132271.0
107,2023.0,12.0,8.0,53.87910842895508,1.5308337306455297,1122430.0
