Date, Average Temperature,Anomaly, Maximum Temperature,Anomaly, Minimum Temperature,Anomaly
189501,23.5,-5.1,34.4,-5.7,12.7,-4.5
189502,23.9,-9.5,35.5,-10.3,12.3,-8.7
189503,42,-0.2,56.1,1.1,27.9,-1.6
189504,58.2,4.6,73.4,6.7,42.9,2.4
189505,65.2,1.7,80.2,4.2,50.1,-0.9
189506,72,-1.4,84.6,-1.3,59.5,-1.3
189507,74.6,-4.2,86.4,-5.3,62.8,-3
189508,75.2,-2.1,87.8,-2.4,62.7,-1.6
189509,72,3.4,86.6,4.7,57.3,2
189510,51.7,-4.8,66,-4,37.4,-5.6
189511,39,-2.9,51.6,-2.8,26.5,-2.9
189512,31.3,-0.2,42.8,0.2,19.9,-0.5
189601,32.5,3.9,44,3.9,21,3.8
189602,36.5,3.1,50.2,4.4,22.8,1.8
189603,37.6,-4.6,50.5,-4.5,24.7,-4.8
189604,59.3,5.7,73.2,6.5,45.5,5
189605,68.2,4.7,81,5,55.4,4.4
189606,73.9,0.5,87.7,1.8,60.1,-0.7
189607,77.6,-1.2,90,-1.7,65.3,-0.5
189608,77.4,0.1,91.6,1.4,63.2,-1.1
189609,65.3,-3.3,78.3,-3.6,52.4,-2.9
189610,53.3,-3.2,67,-3,39.6,-3.4
189611,36.3,-5.6,48.4,-6,24.1,-5.3
189612,38.2,6.7,51.1,8.5,25.3,4.9
189701,27.1,-1.5,37.5,-2.6,16.7,-0.5
189702,32.5,-0.9,42.5,-3.3,22.5,1.5
189703,41.6,-0.6,54.1,-0.9,29,-0.5
189704,53,-0.6,65.7,-1,40.2,-0.3
189705,63.4,-0.1,76.7,0.7,50,-1
189706,74.3,0.9,87.4,1.5,61.2,0.4
189707,79.3,0.5,93.1,1.4,65.5,-0.3
189708,75,-2.3,88.4,-1.8,61.5,-2.8
189709,72.8,4.2,87.8,5.9,57.7,2.4
189710,59.4,2.9,73.7,3.7,45,2
189711,41.1,-0.8,55.1,0.7,27.2,-2.2
189712,28.1,-3.4,38.4,-4.2,17.8,-2.6
189801,30.2,1.6,40.5,0.4,19.9,2.7
189802,35.6,2.2,48.9,3.1,22.3,1.3
189803,41.3,-0.9,55,0,27.7,-1.8
189804,52.2,-1.4,65.6,-1.1,38.8,-1.7
189805,61.7,-1.8,73.3,-2.7,50.2,-0.8
189806,74.1,0.7,85.2,-0.7,62.9,2.1
189807,77,-1.8,89.8,-1.9,64.2,-1.6
189808,76.8,-0.5,90.7,0.5,62.9,-1.4
189809,68.2,-0.4,82.1,0.2,54.3,-1
189810,51.5,-5,64.8,-5.2,38.2,-4.8
189811,37,-4.9,50.2,-4.2,23.8,-5.6
189812,26,-5.5,36.5,-6.1,15.5,-4.9
189901,28.1,-0.5,40,-0.1,16.1,-1.1
189902,19,-14.4,30.5,-15.3,7.4,-13.6
189903,35.8,-6.4,48.9,-6.1,22.6,-6.9
189904,52.5,-1.1,66.6,-0.1,38.4,-2.1
189905,66,2.5,79.6,3.6,52.3,1.3
189906,73,-0.4,85,-0.9,61.1,0.3
189907,75.8,-3,87.6,-4.1,64,-1.8
189908,79.8,2.5,93.6,3.4,66,1.7
189909,68.2,-0.4,83.4,1.5,53,-2.3
189910,59.5,3,74.3,4.3,44.7,1.7
189911,46.4,4.5,58.5,4.1,34.2,4.8
189912,29.7,-1.8,39.6,-3,19.7,-0.7
190001,34,5.4,45.8,5.7,22.2,5
190002,27.1,-6.3,39.4,-6.4,14.8,-6.2
190003,41.4,-0.8,54.4,-0.6,28.4,-1.1
190004,54.3,0.7,65.8,-0.9,42.8,2.3
190005,64.6,1.1,76.9,0.9,52.4,1.4
190006,74.3,0.9,87.8,1.9,60.9,0.1
190007,77.5,-1.3,90.4,-1.3,64.6,-1.2
190008,79.9,2.6,93.5,3.3,66.2,1.9
190009,69.5,0.9,81.4,-0.5,57.7,2.4
190010,59.7,3.2,72.8,2.8,46.6,3.6
190011,40.4,-1.5,53,-1.4,27.7,-1.7
190012,33.7,2.2,46.6,4,20.7,0.3
190101,30.7,2.1,43.6,3.5,17.8,0.6
190102,26.9,-6.5,38,-7.8,15.8,-5.2
190103,40.6,-1.6,54.6,-0.4,26.7,-2.8
190104,51.5,-2.1,63.9,-2.8,39.2,-1.3
190105,62.5,-1,76.5,0.5,48.4,-2.6
190106,76.6,3.2,90.8,4.9,62.4,1.6
190107,84.4,5.6,100,8.3,68.7,2.9
190108,78.2,0.9,92.2,2,64.2,-0.1
190109,68.1,-0.5,80.9,-1,55.3,0
190110,58.2,1.7,71.5,1.5,44.9,1.9
190111,43.1,1.2,57.2,2.8,28.9,-0.5
190112,29.6,-1.9,41.5,-1.1,17.6,-2.8
190201,28.8,0.2,41.5,1.4,16.1,-1.1
190202,27,-6.4,38.3,-7.5,15.8,-5.2
190203,44,1.8,56,1,31.9,2.4
190204,53.7,0.1,67.9,1.2,39.5,-1
190205,67.4,3.9,79,3,55.8,4.8
190206,70.6,-2.8,82.1,-3.8,59.1,-1.7
190207,76.4,-2.4,88.6,-3.1,64.3,-1.5
190208,77.5,0.2,90.4,0.2,64.7,0.4
190209,63.2,-5.4,76.6,-5.3,49.9,-5.4
190210,57.3,0.8,71.4,1.4,43.2,0.2
190211,44.2,2.3,55.3,0.9,33,3.6
190212,26.4,-5.1,35.7,-6.9,17,-3.4
190301,30.8,2.2,41.7,1.6,20,2.8
190302,25.7,-7.7,36.2,-9.6,15.2,-5.8
190303,40.9,-1.3,52.5,-2.5,29.3,-0.2
190304,53.5,-0.1,67.4,0.7,39.4,-1.1
190305,61.2,-2.3,72,-4,50.3,-0.7
190306,66.2,-7.2,77.6,-8.3,54.9,-5.9
190307,77.9,-0.9,90.6,-1.1,65.3,-0.5
190308,75,-2.3,86.7,-3.5,63.2,-1.1
190309,66,-2.6,80.2,-1.7,51.8,-3.5
190310,56,-0.5,69.9,-0.1,42,-1
190311,40.2,-1.7,51.6,-2.8,28.8,-0.6
190312,32.2,0.7,46.1,3.5,18.4,-2
190401,27.9,-0.7,41,0.9,14.8,-2.4
190402,32,-1.4,46.5,0.7,17.6,-3.4
190403,45.1,2.9,60.2,5.2,30,0.5
190404,50,-3.6,63.7,-3,36.1,-4.4
190405,62,-1.5,73.9,-2.1,50.1,-0.9
190406,69.8,-3.6,81.2,-4.7,58.5,-2.3
190407,75.2,-3.6,86.7,-5,63.7,-2.1
190408,74,-3.3,86.2,-4,61.8,-2.5
190409,69,0.4,82.7,0.8,55.3,0
190410,57.4,0.9,71.1,1.1,43.7,0.7
190411,44.1,2.2,60.5,6.1,27.8,-1.6
190412,29.8,-1.7,41.7,-0.9,17.9,-2.5
190501,20.5,-8.1,30.5,-9.6,10.4,-6.8
190502,20.2,-13.2,31.3,-14.5,9.2,-11.8
190503,48.5,6.3,60.1,5.1,36.9,7.4
190504,51.5,-2.1,64.4,-2.3,38.6,-1.9
190505,62,-1.5,74.2,-1.8,49.9,-1.1
190506,74.8,1.4,86.8,0.9,62.7,1.9
190507,74.2,-4.6,86.3,-5.4,62,-3.8
190508,77.9,0.6,91.4,1.2,64.4,0.1
190509,70.6,2,83.4,1.5,57.8,2.5
190510,52.2,-4.3,65.4,-4.6,39,-4
190511,43.9,2,57.6,3.2,30.2,0.8
190512,31,-0.5,43.6,1,18.4,-2
190601,33.4,4.8,45.5,5.4,21.3,4.1
190602,34.7,1.3,48.3,2.5,21.1,0.1
190603,31.6,-10.6,40.8,-14.2,22.3,-7.2
190604,56.8,3.2,70.2,3.5,43.3,2.8
190605,64.2,0.7,77.3,1.3,51.1,0.1
190606,71,-2.4,84.5,-1.4,57.5,-3.3
190607,73.1,-5.7,85.9,-5.8,60.3,-5.5
190608,75.4,-1.9,87.7,-2.5,63.2,-1.1
190609,68.6,0,81,-0.9,56.3,1
190610,52.7,-3.8,65.5,-4.5,39.9,-3.1
190611,39.3,-2.6,49.9,-4.5,28.8,-0.6
190612,35.6,4.1,46.2,3.6,24.9,4.5
190701,29.1,0.5,38.1,-2,20.2,3
190702,34.7,1.3,48.8,3,20.6,-0.4
190703,50.5,8.3,64.9,9.9,36.1,6.6
190704,47.5,-6.1,61.3,-5.4,33.7,-6.8
190705,57.4,-6.1,70.4,-5.6,44.5,-6.5
190706,71.3,-2.1,84.4,-1.5,58.1,-2.7
190707,78,-0.8,90.4,-1.3,65.6,-0.2
190708,77,-0.3,89.4,-0.8,64.6,0.3
190709,69,0.4,83.1,1.2,54.8,-0.5
190710,55.8,-0.7,69.3,-0.7,42.4,-0.6
190711,40.7,-1.2,54,-0.4,27.3,-2.1
190712,32.4,0.9,42.3,-0.3,22.4,2
190801,33.6,5,46,5.9,21.2,4
190802,35.2,1.8,47.2,1.4,23.2,2.2
190803,46.3,4.1,61,6,31.6,2.1
190804,54.5,0.9,68,1.3,40.9,0.4
190805,62.8,-0.7,75.7,-0.3,49.9,-1.1
190806,71.6,-1.8,83,-2.9,60.2,-0.6
190807,75.3,-3.5,87.1,-4.6,63.4,-2.4
190808,75.5,-1.8,87.8,-2.4,63.3,-1
190809,69.4,0.8,83.6,1.7,55.1,-0.2
190810,53.9,-2.6,66.6,-3.4,41.2,-1.8
190811,42.4,0.5,55.5,1.1,29.2,-0.2
190812,34,2.5,45.6,3,22.4,2
190901,28.4,-0.2,39.3,-0.8,17.6,0.4
190902,35.5,2.1,50.7,4.9,20.3,-0.7
190903,40.4,-1.8,53.1,-1.9,27.7,-1.8
190904,51.4,-2.2,65.6,-1.1,37.1,-3.4
190905,61.4,-2.1,75.4,-0.6,47.4,-3.6
190906,72.6,-0.8,84.4,-1.5,60.9,0.1
190907,78,-0.8,89.7,-2,66.3,0.5
190908,79.4,2.1,93,2.8,65.8,1.5
190909,68.8,0.2,83.2,1.3,54.5,-0.8
190910,55.4,-1.1,69.8,-0.2,41,-2
190911,46.5,4.6,58.1,3.7,34.9,5.5
190912,21,-10.5,30.1,-12.5,12,-8.4
191001,28.5,-0.1,37.9,-2.2,19.1,1.9
191002,29.2,-4.2,41.8,-4,16.6,-4.4
191003,54.4,12.2,71.7,16.7,37.1,7.6
191004,55.9,2.3,71.2,4.5,40.7,0.2
191005,59.4,-4.1,71.2,-4.8,47.6,-3.4
191006,72.1,-1.3,85.1,-0.8,59,-1.8
191007,79.2,0.4,93.4,1.7,65,-0.8
191008,75.1,-2.2,87.5,-2.7,62.6,-1.7
191009,69.5,0.9,82.5,0.6,56.6,1.3
191010,58.6,2.1,74.9,4.9,42.4,-0.6
191011,42.9,1,57.6,3.2,28.2,-1.2
191012,31.7,0.2,43.5,0.9,19.9,-0.5
191101,32.6,4,45.6,5.5,19.5,2.3
191102,34.1,0.7,46.1,0.3,22.2,1.2
191103,46.4,4.2,60.8,5.8,32,2.5
191104,53,-0.6,67.4,0.7,38.6,-1.9
191105,65.6,2.1,78.1,2.1,53.1,2.1
191106,79.3,5.9,94.9,9,63.7,2.9
191107,78.2,-0.6,91.3,-0.4,65,-0.8
191108,75.6,-1.7,89,-1.2,62.1,-2.2
191109,73.6,5,87.2,5.3,60.1,4.8
191110,53.5,-3,65.4,-4.6,41.6,-1.4
191111,37.2,-4.7,50.7,-3.7,23.7,-5.7
191112,28.8,-2.7,38.8,-3.8,18.8,-1.6
191201,17.5,-11.1,27.3,-12.8,7.7,-9.5
191202,30.1,-3.3,39.7,-6.1,20.5,-0.5
191203,30.3,-11.9,38.9,-16.1,21.6,-7.9
191204,53,-0.6,65.8,-0.9,40.2,-0.3
191205,65.8,2.3,79.3,3.3,52.4,1.4
191206,68.8,-4.6,81.6,-4.3,55.9,-4.9
191207,79.3,0.5,92.6,0.9,66.1,0.3
191208,76.3,-1,88.8,-1.4,63.8,-0.5
191209,65.1,-3.5,77.8,-4.1,52.3,-3
191210,56.4,-0.1,71,1,41.7,-1.3
191211,43.8,1.9,58.3,3.9,29.3,-0.1
191212,32.9,1.4,46.1,3.5,19.8,-0.6
191301,27.8,-0.8,40.3,0.2,15.3,-1.9
191302,24.9,-8.5,36.7,-9.1,13.1,-7.9
191303,38.5,-3.7,52.1,-2.9,24.9,-4.6
191304,55.5,1.9,70.5,3.8,40.5,0
191305,66.2,2.7,79.7,3.7,52.6,1.6
191306,73.7,0.3,86,0.1,61.3,0.5
191307,81.5,2.7,96.2,4.5,66.9,1.1
191308,83.2,5.9,99.8,9.6,66.6,2.3
191309,66.6,-2,79.2,-2.7,54.1,-1.2
191310,52.7,-3.8,65.4,-4.6,40,-3
191311,47.3,5.4,57.9,3.5,36.7,7.3
191312,32.3,0.8,39.4,-3.2,25.2,4.8
191401,36.1,7.5,46.7,6.6,25.4,8.2
191402,29,-4.4,42.2,-3.6,15.8,-5.2
191403,42.3,0.1,56.2,1.2,28.5,-1
191404,53.6,0,67.2,0.5,39.9,-0.6
191405,63.4,-0.1,74.7,-1.3,52,1
191406,77.7,4.3,90.2,4.3,65.2,4.4
191407,79.6,0.8,92.4,0.7,66.8,1
191408,77.2,-0.1,90.8,0.6,63.8,-0.5
191409,71.4,2.8,85.3,3.4,57.4,2.1
191410,57,0.5,69.6,-0.4,44.4,1.4
191411,46.6,4.7,62.2,7.8,30.9,1.5
191412,21.9,-9.6,31.1,-11.5,12.8,-7.6
191501,27.5,-1.1,38.4,-1.7,16.6,-0.6
191502,36.7,3.3,46,0.2,27.3,6.3
191503,31.2,-11,39.2,-15.8,23.3,-6.2
191504,57.6,4,69.8,3.1,45.4,4.9
191505,59.4,-4.1,71.1,-4.9,47.7,-3.3
191506,68.5,-4.9,79.2,-6.7,57.7,-3.1
191507,73.5,-5.3,84.6,-7.1,62.4,-3.4
191508,69.3,-8,80,-10.2,58.5,-5.8
191509,68,-0.6,79.3,-2.6,56.6,1.3
191510,57.2,0.7,72,2,42.4,-0.6
191511,46.3,4.4,60.8,6.4,31.8,2.4
191512,32.9,1.4,44.8,2.2,21.1,0.7
191601,23.5,-5.1,34,-6.1,13.1,-4.1
191602,31.3,-2.1,44.6,-1.2,18.1,-2.9
191603,46.5,4.3,62.8,7.8,30.2,0.7
191604,49.8,-3.8,61.8,-4.9,37.8,-2.7
191605,63.3,-0.2,76.9,0.9,49.7,-1.3
191606,69.9,-3.5,82,-3.9,57.8,-3
191607,80.6,1.8,95.3,3.6,65.9,0.1
191608,78.7,1.4,92.4,2.2,64.9,0.6
191609,67,-1.6,81.4,-0.5,52.5,-2.8
191610,55.9,-0.6,69.6,-0.4,42.2,-0.8
191611,41.7,-0.2,55.6,1.2,27.9,-1.5
191612,26.5,-5,39.9,-2.7,13.1,-7.3
191701,29.7,1.1,42.6,2.5,16.8,-0.4
191702,31,-2.4,46.2,0.4,15.8,-5.2
191703,41.6,-0.6,57,2,26.2,-3.3
191704,50.8,-2.8,63.9,-2.8,37.8,-2.7
191705,56.7,-6.8,68.9,-7.1,44.6,-6.4
191706,72.2,-1.2,87,1.1,57.4,-3.4
191707,80.4,1.6,95.3,3.6,65.4,-0.4
191708,72.9,-4.4,85.3,-4.9,60.4,-3.9
191709,68.2,-0.4,81.3,-0.6,55,-0.3
191710,49.5,-7,64.4,-5.6,34.6,-8.4
191711,46,4.1,59.9,5.5,32.1,2.7
191712,24.9,-6.6,37,-5.6,12.8,-7.6
191801,18,-10.6,30,-10.1,6.1,-11.1
191802,34.7,1.3,50.1,4.3,19.3,-1.7
191803,48.1,5.9,62.7,7.7,33.4,3.9
191804,47.8,-5.8,59.5,-7.2,36.1,-4.4
191805,66.6,3.1,79.6,3.6,53.5,2.5
191806,77.6,4.2,91.9,6,63.4,2.6
191807,77.8,-1,91.1,-0.6,64.4,-1.4
191808,81.1,3.8,95.5,5.3,66.8,2.5
191809,62.8,-5.8,77.1,-4.8,48.6,-6.7
191810,59,2.5,70.4,0.4,47.6,4.6
191811,40.9,-1,50.9,-3.5,31,1.6
191812,33.2,1.7,43.1,0.5,23.3,2.9
191901,28.6,0,39.5,-0.6,17.6,0.4
191902,31,-2.4,40.6,-5.2,21.4,0.4
191903,42.6,0.4,53.8,-1.2,31.4,1.9
191904,52,-1.6,63,-3.7,40.9,0.4
191905,61,-2.5,72.4,-3.6,49.7,-1.3
191906,71.5,-1.9,83.1,-2.8,60,-0.8
191907,79.4,0.6,92.6,0.9,66.3,0.5
191908,77.6,0.3,91.8,1.6,63.4,-0.9
191909,71.5,2.9,85.1,3.2,58,2.7
191910,52.9,-3.6,64.7,-5.3,41.2,-1.8
191911,37.9,-4,50.3,-4.1,25.5,-3.9
191912,26,-5.5,36.5,-6.1,15.4,-5
192001,29.9,1.3,40.5,0.4,19.4,2.2
192002,34.5,1.1,46.6,0.8,22.3,1.3
192003,43.7,1.5,58.8,3.8,28.7,-0.8
192004,47.7,-5.9,60.7,-6,34.6,-5.9
192005,62.4,-1.1,73.4,-2.6,51.4,0.4
192006,72.3,-1.1,84.6,-1.3,60.1,-0.7
192007,77.2,-1.6,90.8,-0.9,63.6,-2.2
192008,71.8,-5.5,84.4,-5.8,59.2,-5.1
192009,68.6,0,82.1,0.2,55.1,-0.2
192010,59.1,2.6,72.4,2.4,45.9,2.9
192011,38.3,-3.6,48.7,-5.7,27.9,-1.5
192012,32.4,0.9,43,0.4,21.9,1.5
192101,34.9,6.3,45.1,5,24.7,7.5
192102,38.6,5.2,52.1,6.3,25,4
192103,48.7,6.5,62.8,7.8,34.7,5.2
192104,53.6,0,67,0.3,40,-0.5
192105,64.9,1.4,77.6,1.6,52.2,1.2
192106,73.7,0.3,84.7,-1.2,62.7,1.9
192107,78.7,-0.1,91.2,-0.5,66.3,0.5
192108,78,0.7,91.1,0.9,64.8,0.5
192109,72.8,4.2,86.3,4.4,59.3,4
192110,58.7,2.2,75,5,42.4,-0.6
192111,42.1,0.2,57,2.6,27.1,-2.3
192112,32.7,1.2,44.6,2,20.8,0.4
192201,26.6,-2,38.5,-1.6,14.7,-2.5
192202,32.6,-0.8,46.9,1.1,18.2,-2.8
192203,41.5,-0.7,53.4,-1.6,29.6,0.1
192204,53.4,-0.2,64.7,-2,42,1.5
192205,63.6,0.1,75.4,-0.6,51.8,0.8
192206,74.6,1.2,87.7,1.8,61.5,0.7
192207,76.7,-2.1,89.3,-2.4,64.1,-1.7
192208,79.4,2.1,93.3,3.1,65.5,1.2
192209,72.4,3.8,87.1,5.2,57.6,2.3
192210,58,1.5,73.8,3.8,42.1,-0.9
192211,44.1,2.2,56.3,1.9,31.9,2.5
192212,32.7,1.2,46,3.4,19.4,-1
192301,36.7,8.1,50.5,10.4,22.9,5.7
192302,30.2,-3.2,43.8,-2,16.7,-4.3
192303,39.4,-2.8,54,-1,24.8,-4.7
192304,53.2,-0.4,66.2,-0.5,40.1,-0.4
192305,60.7,-2.8,72.1,-3.9,49.2,-1.8
192306,72.6,-0.8,82.7,-3.2,62.4,1.6
192307,78.4,-0.4,90.6,-1.1,66.2,0.4
192308,77.3,0,90.9,0.7,63.8,-0.5
192309,68.7,0.1,81.5,-0.4,55.8,0.5
192310,50.8,-5.7,60.1,-9.9,41.6,-1.4
192311,43.3,1.4,55.9,1.5,30.7,1.3
192312,34.1,2.6,44.6,2,23.6,3.2
192401,24.6,-4,37.2,-2.9,11.9,-5.3
192402,34.6,1.2,46.9,1.1,22.3,1.3
192403,33.9,-8.3,43.3,-11.7,24.5,-5
192404,53.9,0.3,67.9,1.2,39.9,-0.6
192405,57.5,-6,71.2,-4.8,43.8,-7.2
192406,73.8,0.4,86.9,1,60.8,0
192407,75.3,-3.5,88.6,-3.1,61.9,-3.9
192408,78.3,1,90.9,0.7,65.8,1.5
192409,64.8,-3.8,78.7,-3.2,50.8,-4.5
192410,59.4,2.9,73.5,3.5,45.3,2.3
192411,44.2,2.3,59.1,4.7,29.2,-0.2
192412,22.8,-8.7,33.8,-8.8,11.9,-8.5
192501,24,-4.6,35.6,-4.5,12.3,-4.9
192502,39,5.6,52.7,6.9,25.2,4.2
192503,47.2,5,62.2,7.2,32.3,2.8
192504,58.7,5.1,71.4,4.7,46,5.5
192505,62.4,-1.1,75.6,-0.4,49.1,-1.9
192506,77.3,3.9,90.8,4.9,63.9,3.1
192507,79.5,0.7,92.7,1,66.3,0.5
192508,76.3,-1,89.7,-0.5,62.9,-1.4
192509,71.7,3.1,83.5,1.6,60,4.7
192510,46.8,-9.7,57.2,-12.8,36.3,-6.7
192511,40.9,-1,54.2,-0.2,27.5,-1.9
192512,31.5,0,43.2,0.6,19.7,-0.7
192601,31.1,2.5,41.4,1.3,20.8,3.6
192602,39.9,6.5,53.2,7.4,26.5,5.5
192603,39.9,-2.3,52.1,-2.9,27.6,-1.9
192604,48.6,-5,61.4,-5.3,35.8,-4.7
192605,65.6,2.1,78.6,2.6,52.6,1.6
192606,72.4,-1,86.1,0.2,58.7,-2.1
192607,78.5,-0.3,92,0.3,65,-0.8
