Date,Average Temperature_x,Anomaly,Maximun Temperature,Anomaly.1,Minimum Temperature,Anomaly.2,encode_state,Year,Month
202201,26.6,2.9,40.4,4,12.8,1.8,0,2023,1
202202,25,-2.2,39.1,-1.3,10.9,-3.2,0,2023,2
202203,35,1.4,49,2.2,20.9,0.5,0,2023,3
202204,43.7,1.2,58.9,2.7,28.5,-0.4,0,2023,4
202205,53.3,1.4,68,2.2,38.5,0.6,0,2023,5
202206,64.3,3,79.3,3,49.3,3.1,0,2023,6
202207,70.3,3.3,84.7,2.8,55.9,3.8,0,2023,7
202208,67.8,2.6,82,2.2,53.5,2.8,0,2023,8
202209,62.5,5.1,78,5.8,47,4.5,0,2023,9
202210,47.6,1.2,62.1,1.3,33.1,1.1,0,2023,10
202211,31.3,-2.2,44.7,-1.9,17.9,-2.4,0,2023,11
202212,25.6,0.5,38.1,0.5,13,0.4,0,2023,12
202201,29.8,1.2,43.5,3.4,16.2,-1,1,2023,1
202202,31.8,-1.6,46.6,0.8,17.1,-3.9,1,2023,2
202203,44.1,1.9,58.6,3.6,29.6,0.1,1,2023,3
202204,54.1,0.5,69,2.3,39.2,-1.3,1,2023,4
202205,64.7,1.2,76.9,0.9,52.4,1.4,1,2023,5
202206,75.8,2.4,88.3,2.4,63.4,2.6,1,2023,6
202207,81.1,2.3,94.2,2.5,67.9,2.1,1,2023,7
202208,79.2,1.9,93.3,3.1,65.1,0.8,1,2023,8
202209,72,3.4,87.2,5.3,56.8,1.5,1,2023,9
202210,57.7,1.2,73.5,3.5,42,-1,1,2023,10
202211,41.1,-0.8,54.3,-0.1,27.9,-1.5,1,2023,11
202212,30.6,-0.9,42.7,0.1,18.6,-1.8,1,2023,12
202201,3.6,-2.9,15.4,-1.1,-8.3,-4.7,2,2023,1
202202,6.5,-5.3,18.8,-4.1,-5.8,-6.7,2,2023,2
202203,26.1,1.1,35.7,0.1,16.5,1.8,2,2023,3
202204,35.6,-5.9,43.9,-8.8,27.2,-2.9,2,2023,4
202205,55.4,1.1,66.1,-0.5,44.6,2.8,2,2023,5
202206,66.2,2.5,78,2.5,54.3,2.4,2,2023,6
202207,69.7,0.9,80.6,-0.1,58.8,2,2,2023,7
202208,67.3,1,77.8,-0.4,56.8,2.5,2,2023,8
202209,60.2,3.4,71.8,3.5,48.6,3.3,2,2023,9
202210,46.9,1.9,58.1,2.3,35.8,1.6,2,2023,10
202211,30.1,2.4,38.1,1.8,22.1,2.8,2,2023,11
202212,12.6,-0.3,19.7,-2,5.5,1.4,2,2023,12
202201,22.9,6.2,33.3,6.8,12.4,5.4,3,2023,1
202202,22.4,1.3,33.7,2.1,11.1,0.4,3,2023,2
202203,33.5,4.5,45.4,5.6,21.5,3.3,3,2023,3
202204,35.2,-5.5,46.7,-6.1,23.6,-5.1,3,2023,4
202205,48.6,-1.6,60.4,-2.4,36.7,-1,3,2023,5
202206,58.5,0.2,71.4,0.3,45.6,0.2,3,2023,6
202207,69.1,3.5,84.8,4.3,53.4,2.7,3,2023,7
202208,69.7,5.7,85.7,6.6,53.8,4.9,3,2023,8
202209,60.7,6.9,76,8.5,45.3,5.3,3,2023,9
202210,47.2,4.1,59.3,3.9,35,4.2,3,2023,10
202211,22.6,-6.7,32.2,-6.9,13,-6.4,3,2023,11
202212,14.6,-6.1,23.6,-6.4,5.7,-5.8,3,2023,12
202201,25.6,3.4,39.5,5.8,11.7,1.1,4,2023,1
202202,26.8,0.3,41.3,2.9,12.2,-2.4,4,2023,2
202203,38,2.4,52,4.1,24,0.7,4,2023,3
202204,46.5,-1.3,61.7,0.7,31.3,-3.3,4,2023,4
202205,58.7,0.3,71.6,0.1,45.9,0.5,4,2023,5
202206,71.4,3.1,85.6,4.3,57.2,1.9,4,2023,6
202207,76.4,2,89.8,1.8,63,2.2,4,2023,7
202208,74.9,2.6,89.1,3.3,60.6,1.8,4,2023,8
202209,67.4,4.5,83.2,6.2,51.6,2.9,4,2023,9
202210,52.2,1.5,68,3.1,36.3,-0.2,4,2023,10
202211,34.4,-1.3,48,0,20.7,-2.7,4,2023,11
202212,22.7,-2.6,33.5,-2.9,11.9,-2.3,4,2023,12
202201,8.7,2.3,20.1,3.8,-2.7,0.8,5,2023,1
202202,9.4,-2.2,21.4,-0.3,-2.5,-4,5,2023,2
202203,26.9,2.6,37.2,2.7,16.6,2.4,5,2023,3
202204,33.6,-7.7,42.6,-10.6,24.5,-4.9,5,2023,4
202205,52.9,-0.8,64.4,-2.4,41.4,0.7,5,2023,5
202206,64.6,1.7,77.1,1.9,52,1.3,5,2023,6
202207,70.6,1.7,82.9,0.7,58.4,2.8,5,2023,7
202208,69.5,2.7,82.5,1.7,56.4,3.5,5,2023,8
202209,60.9,4.6,75.1,5.3,46.7,3.9,5,2023,9
202210,46,2.1,58.5,2.2,33.4,2,5,2023,10
202211,23.1,-3,31.9,-3.6,14.3,-2.3,5,2023,11
202212,6.8,-5.9,14.6,-7.5,-1.2,-4.6,5,2023,12
202201,37,0.5,51.8,4,22.2,-2.9,6,2023,1
202202,38.5,-2.5,52.8,-0.4,24.3,-4.4,6,2023,2
202203,50.4,1.1,65.2,3.5,35.6,-1.2,6,2023,3
202204,61,1.5,74.6,2.7,47.4,0.3,6,2023,4
202205,70.5,2.4,82.2,2.4,58.8,2.4,6,2023,5
202206,79.3,2.3,91,2.4,67.7,2.3,6,2023,6
202207,86.5,4.8,100.3,6.4,72.8,3.3,6,2023,7
202208,82.4,1.5,94.9,1.5,70,1.7,6,2023,8
202209,75.9,2.7,90.6,4.9,61.2,0.6,6,2023,9
202210,62,0.4,76.5,2,47.5,-1.1,6,2023,10
202211,47.3,-1,58.6,-1.9,35.9,-0.3,6,2023,11
202212,40,1.1,51.1,1,28.8,1.1,6,2023,12
202201,19.1,4,32,6,6.2,2,7,2023,1
202202,19.8,0.2,33.6,2.9,6.2,-2.3,7,2023,2
202203,33.3,2.9,46.2,4.5,20.4,1.2,7,2023,3
202204,39.6,-5.2,51.9,-5.7,27.2,-4.8,7,2023,4
202205,55.3,-0.8,67.8,-1.3,42.8,-0.2,7,2023,5
202206,67.6,1.9,80.8,2.3,54.4,1.4,7,2023,6
202207,74.6,2.1,88.1,1.8,61,2.3,7,2023,7
202208,73.2,2.7,87.1,2.6,59.1,2.7,7,2023,8
202209,65.3,5.1,80.8,6.3,49.8,3.9,7,2023,9
202210,49.4,1.7,63.7,2.4,35,0.9,7,2023,10
202211,29,-2.4,40.2,-2.3,17.7,-2.6,7,2023,11
202212,15,-4.7,24.4,-5.8,5.7,-3.6,7,2023,12
202201,45.9,0.5,60.3,2.6,31.4,-1.7,8,2023,1
202202,45.9,-3.4,60.1,-1.9,31.6,-4.9,8,2023,2
202203,57.2,0.8,72.6,3.2,41.7,-1.6,8,2023,3
202204,68.8,4,82.6,4.8,55,3.2,8,2023,4
202205,78,5.5,91.2,6.5,64.7,4.4,8,2023,5
202206,83.8,4.2,96.4,4.8,71.1,3.5,8,2023,6
202207,87.1,4.8,100,5.7,74.3,4.1,8,2023,7
202208,83.3,1.4,94.4,0.2,72.2,2.7,8,2023,8
202209,77.8,1.9,90.2,2.2,65.3,1.6,8,2023,9
202210,66.4,0.4,79.6,0.8,53.2,0,8,2023,10
202211,54,-0.6,64.8,-2.3,43.2,1.2,8,2023,11
202212,50,3.2,61.1,2.2,38.9,4.2,8,2023,12
